,name,FNN,Same,Sub,target,co,oh,h
0,mp-10015_5d83020d30582ea2977a44b2,{'V': 1},{'W': 4},{'W': 2},0.0,-1.3173010053183805,-0.85605425,0.18104522750849356
1,mp-10015_5d83020d30582ea2977a44b2,{'W': 1},{'V': 4},{'V': 2},0.0,-1.5935418289517904,-1.134167,-0.3156089277842826
2,mp-10015_5d83cd3b4eaf9091a4057182,{'V': 1},{'W': 4},{'W': 2},0.0,-1.3173010053183805,-0.85605425,0.18104522750849356
3,mp-10015_5d83cd3b4eaf9091a4057182,{'W': 1},{'V': 4},{'V': 2},0.0,-1.5935418289517904,-1.134167,-0.3156089277842826
4,mp-1001836_5d83020f30582ea2977ab568,{'V': 1},{'W': 4},"{'V': 2, 'W': 2}",0.0,-1.4527098388644633,-0.80493385,0.2701929474255837
5,mp-1001836_5d83020f30582ea2977ab568,{'W': 1},{'V': 4},"{'W': 2, 'V': 2}",0.0,-1.6163083094112587,-0.74542737,-0.3378967852985275
6,mp-1002114_5d83020f30582ea2977ab8e9,{'W': 3},{'W': 9},{'V': 7},0.0,-1.2657656458190896,-1.3984239,-0.6850928785835092
7,mp-1002114_5d83020f30582ea2977ab8e9,{'V': 3},{'V': 9},{'W': 7},0.0,-2.3784503838451125,-1.0433986,-0.7372171650063379
8,mp-10032_5d83020e30582ea2977a710a,{'W': 3},"{'V': 3, 'W': 8}","{'V': 2, 'W': 2}",0.0,-1.0838536699441828,-0.5016962,-0.4497461374047295
9,mp-10032_5d83020e30582ea2977a710a,{'V': 3},"{'W': 3, 'V': 8}","{'W': 2, 'V': 2}",0.0,-1.994851226970555,-0.3316783,-0.8239682630517364
10,mp-10032_5d83020e30582ea2977a71d5,{'W': 2},"{'V': 3, 'W': 2}","{'V': 2, 'W': 5}",0.0,-1.6501939141385535,-1.1604482,-0.6687857769218343
11,mp-10032_5d83020e30582ea2977a71d5,{'V': 2},"{'W': 3, 'V': 2}","{'W': 2, 'V': 5}",0.0,-1.752172251997092,-1.3012977,-0.574435425289925
12,mp-10032_5d83020e30582ea2977a71d6,{'W': 1},"{'V': 2, 'W': 2}","{'V': 1, 'W': 2}",0.0,-1.7369282856475847,-0.9621812,-0.26536459781836236
13,mp-10032_5d83020e30582ea2977a71d6,{'V': 1},"{'W': 2, 'V': 2}","{'W': 1, 'V': 2}",0.0,-1.5087085400925908,-0.9912186,-0.11077098948909697
14,mp-10032_5d83020e30582ea2977a71d8,{'V': 1},{'W': 4},{'W': 1},0.0,-1.3559329286178428,-0.7647539,0.20386514799018016
15,mp-10032_5d83020e30582ea2977a71d8,{'W': 1},{'V': 4},{'V': 1},0.0,-1.6711570353404144,-1.4136168,-0.29810367424905926
16,mp-10032_5d83020e30582ea2977a71da,{'W': 1},"{'V': 2, 'W': 4}","{'V': 1, 'W': 2}",0.0,-1.5833256304866499,-0.6418013,-0.2417943234801733
17,mp-10032_5d83020e30582ea2977a71da,{'V': 1},"{'W': 2, 'V': 4}","{'W': 1, 'V': 2}",0.0,-1.5382431976237008,-1.1431458,-0.15890716370602717
18,mp-10032_5d83020e30582ea2977a71db,{'V': 1},{'W': 4},{'W': 1},0.0,-1.3559329286178428,-0.7647539,0.20386514799018016
19,mp-10032_5d83020e30582ea2977a71db,{'W': 1},{'V': 4},{'V': 1},0.0,-1.6711570353404144,-1.4136168,-0.29810367424905926
20,mp-10032_5d83020e30582ea2977a71dc,{'W': 3},"{'V': 3, 'W': 6}","{'V': 4, 'W': 5}",0.0,-1.107715891059153,-0.90629685,-0.5329975071490782
21,mp-10032_5d83020e30582ea2977a71dc,{'V': 3},"{'W': 3, 'V': 6}","{'W': 4, 'V': 5}",0.0,-1.9093175596791834,-1.2335324,-0.7969739490407235
22,mp-10032_5d83020e30582ea2977a71e0,{'W': 1},"{'V': 2, 'W': 3}","{'V': 1, 'W': 2}",0.0,-1.6318977051477312,-0.78411067,-0.2893431855873217
23,mp-10032_5d83020e30582ea2977a71e0,{'V': 1},"{'W': 2, 'V': 3}","{'W': 1, 'V': 2}",0.0,-1.5261380773309985,-1.0184346,-0.16003916971006857
24,mp-10032_5d83020e30582ea2977a71e1,{'W': 2},"{'V': 3, 'W': 6}","{'V': 3, 'W': 2}",0.0,-1.3320025297530635,-1.0129501,-0.66140832834922
25,mp-10032_5d83020e30582ea2977a71e1,{'V': 2},"{'W': 3, 'V': 6}","{'W': 3, 'V': 2}",0.0,-1.8344340583350325,-1.4282522,-0.7232091793141916
26,mp-10032_5d83020e30582ea2977a71e2,{'V': 1},{'W': 4},{'W': 1},0.0,-1.3559329286178428,-0.7647539,0.20386514799018016
27,mp-10032_5d83020e30582ea2977a71e2,{'W': 1},{'V': 4},{'V': 1},0.0,-1.6711570353404144,-1.4136168,-0.29810367424905926
28,mp-10032_5d83020e30582ea2977a748b,{'W': 1},{'W': 3},{'V': 2},0.0,-1.5893849294509752,-1.3227663,-0.19774287146462144
29,mp-10032_5d83020e30582ea2977a748b,{'V': 1},{'V': 3},{'W': 2},0.0,-1.6918388979302057,-1.2954065,-0.2191884976229985
30,mp-10032_5d83020e30582ea2977a7490,"{'V': 1, 'W': 2}","{'V': 1, 'W': 6}","{'V': 4, 'W': 3}",0.0,-1.4727651113761195,-0.641823,-0.6056611537009416
