name,FNN,Same,Sub,target
0,"{'Co': 1, 'Si': 1}","{'Co': 5, 'Si': 3}",{'Al': 2},1
1,"{'Co': 1, 'Si': 1}","{'Al': 2, 'Co': 3, 'Si': 2}","{'Co': 1, 'Al': 2, 'Si': 1}",1
10,"{'Co': 1, 'Si': 1}","{'Al': 2, 'Co': 3, 'Si': 1}","{'Al': 1, 'Co': 1, 'Si': 1}",2
11,"{'Co': 1, 'Si': 1}","{'Co': 2, 'Al': 3, 'Si': 1}","{'Co': 1, 'Si': 2}",3
12,"{'Co': 1, 'Al': 1}","{'Co': 2, 'Si': 5}","{'Al': 1, 'Co': 2, 'Si': 2}",4
13,"{'Co': 1, 'Si': 1}","{'Co': 3, 'Al': 3, 'Si': 1}","{'Co': 1, 'Al': 2, 'Si': 1}",5
14,{'Al': 1},"{'Co': 1, 'Si': 1}","{'Co': 2, 'Si': 1}",6
15,{'Co': 2},"{'Al': 2, 'Si': 5}","{'Al': 1, 'Si': 2}",7
16,"{'Co': 1, 'Si': 1}","{'Al': 1, 'Co': 4, 'Si': 4}","{'Al': 1, 'Si': 1}",8
17,"{'Co': 1, 'Al': 1, 'Si': 1}","{'Al': 2, 'Co': 3, 'Si': 2}","{'Al': 2, 'Co': 3, 'Si': 2}",9
18,"{'Co': 1, 'Si': 1}","{'Co': 3, 'Al': 1, 'Si': 4}","{'Al': 1, 'Si': 2}",2
19,"{'Co': 1, 'Si': 1}","{'Co': 3, 'Al': 2, 'Si': 1}","{'Al': 1, 'Co': 1, 'Si': 1}",3
2,{'Co': 2},"{'Al': 2, 'Si': 4}","{'Al': 1, 'Si': 2}",4
20,"{'Co': 1, 'Si': 1}","{'Co': 3, 'Al': 2, 'Si': 1}","{'Al': 1, 'Co': 1, 'Si': 1}",5
21,{'Co': 2},"{'Al': 1, 'Co': 1, 'Si': 4}","{'Al': 1, 'Si': 1}",6
3,{'Si': 1},"{'Co': 2, 'Si': 1}","{'Co': 1, 'Al': 1, 'Si': 1}",7
4,{'Co': 2},"{'Co': 2, 'Si': 6}","{'Al': 2, 'Si': 1}",8
5,{'Co': 1},{'Si': 2},{'Si': 1},9
6,"{'Co': 1, 'Si': 1}","{'Co': 1, 'Al': 2, 'Si': 1}","{'Al': 1, 'Co': 1, 'Si': 2}",1
7,"{'Co': 1, 'Si': 1}","{'Co': 2, 'Al': 3}","{'Al': 1, 'Co': 2, 'Si': 1}",2
8,"{'Co': 1, 'Si': 1}","{'Al': 2, 'Co': 3, 'Si': 2}","{'Al': 2, 'Co': 1, 'Si': 1}",3
9,"{'Co': 1, 'Si': 1}","{'Co': 3, 'Al': 2, 'Si': 2}","{'Co': 1, 'Al': 2, 'Si': 1}",4
